congress,person_id,person_name,party,state,party_percentage,num_votes_with,num_votes_against
108,S289,Alexander (R-TN),R,TN,0.8518519,575,100
108,S250,Allard (R-CO),R,CO,0.8637037,583,92
108,S274,Allen (R-VA),R,VA,0.86053413,580,94
108,S231,Bennett (R-UT),R,UT,0.8637037,583,92
108,S200,Bond (R-MO),R,MO,0.88148147,595,80
108,S249,Brownback (R-KS),R,KS,0.8548148,577,98
108,S265,Bunning (R-KY),R,KY,0.87259257,589,86
108,S211,Burns (R-MT),R,MT,0.89925927,607,68
108,S225,Campbell (D-CO),D,CO,-0.16740741,-113,788
108,S272,Chafee, L.  (R-RI),R,RI,0.5496296,371,304
108,S290,Chambliss (R-GA),R,GA,0.8696296,587,88
108,S136,Cochran (R-MS),R,MS,0.917037,619,56
108,S291,Coleman (R-MN),R,MN,0.8251852,557,118
108,S252,Collins (R-ME),R,ME,0.6533333,441,234
108,S287,Cornyn (R-TX),R,TX,0.8755556,591,84
108,S215,Craig (R-ID),R,ID,0.8696296,587,88
108,S266,Crapo (R-ID),R,ID,0.88148147,595,80
108,S240,DeWine (R-OH),R,OH,0.7837037,529,146
108,S292,Dole (R-NC),R,NC,0.8755556,591,84
108,S027,Domenici (R-NM),R,NM,0.8281481,559,116
108,S281,Ensign (R-NV),R,NV,0.77185184,521,154
108,S254,Enzi (R-WY),R,WY,0.842963,569,106
108,S268,Fitzgerald (R-IL),R,IL,0.8014815,541,134
108,S241,Frist (R-TN),R,TN,1.0,675,0
108,S293,Graham (R-SC),R,SC,0.82222223,555,120
108,S153,Grassley (R-IA),R,IA,0.9022222,609,66
108,S224,Gregg (R-NH),R,NH,0.76,513,162
108,S255,Hagel (R-NE),R,NE,0.82222223,555,120
108,S118,Hatch (R-UT),R,UT,0.8785185,593,82
108,S235,Hutchison (R-TX),R,TX,0.7866667,531,144
108,S236,Inhofe (R-OK),R,OK,0.8488889,573,102
108,S243,Kyl (R-AZ),R,AZ,0.80444443,543,132
108,S203,Lott (R-MS),R,MS,0.83086056,560,114
108,S105,Lugar (R-IN),R,IN,0.837037,565,110
108,S197,McCain (R-AZ),R,AZ,0.6651852,449,226
108,S174,McConnell (R-KY),R,KY,0.89037037,601,74
108,S288,Murkowski (R-AK),R,AK,0.78962964,533,142
108,S158,Nickles (R-OK),R,OK,0.8281481,559,116
108,S260,Roberts (R-KS),R,KS,0.8962963,605,70
108,S244,Santorum (R-PA),R,PA,0.82222223,555,120
108,S261,Sessions (R-AL),R,AL,0.8340741,563,112
108,S184,Shelby (D-AL),D,AL,-0.20296296,-137,812
108,S262,Smith (R-OR),R,OR,0.79555553,537,138
108,S245,Snowe (R-ME),R,ME,0.6148148,415,260
108,S161,Specter (R-PA),R,PA,0.6385185,431,244
108,S090,Stevens (R-AK),R,AK,0.8874074,599,76
108,S296,Sununu (R-NH),R,NH,0.74222225,501,174
108,S286,Talent (R-MO),R,MO,0.8785185,593,82
108,S246,Thomas (R-WY),R,WY,0.842963,569,106
108,S271,Voinovich (R-OH),R,OH,0.8014815,541,134
108,S143,Warner (R-VA),R,VA,0.837037,565,110
108,S213,Akaka (D-HI),D,HI,0.71555555,483,192
108,S127,Baucus (D-MT),D,MT,0.6385185,431,244
108,S264,Bayh (D-IN),D,IN,0.6859259,463,212
108,S010,Biden (D-DE),D,DE,0.6622222,447,228
108,S167,Bingaman (D-NM),D,NM,0.76296294,515,160
108,S223,Boxer (D-CA),D,CA,0.76296294,515,160
108,S179,Breaux (D-LA),D,LA,0.49333334,333,342
108,S017,Byrd (D-WV),D,WV,0.6711111,453,222
108,S275,Cantwell (D-WA),D,WA,0.78074074,527,148
108,S277,Carper (D-DE),D,DE,0.66172105,446,228
108,S278,Clinton (D-NY),D,NY,0.76,513,162
108,S201,Conrad (D-ND),D,ND,0.76,513,162
108,S279,Corzine (D-NJ),D,NJ,0.75703704,511,164
108,S185,Daschle (D-SD),D,SD,1.0,675,0
108,S280,Dayton (D-MN),D,MN,0.80444443,543,132
108,S150,Dodd (D-CT),D,CT,0.76592594,517,158
108,S222,Dorgan (D-ND),D,ND,0.8251852,557,118
108,S253,Durbin (D-IL),D,IL,0.79555553,537,138
108,S267,Edwards (D-NC),D,NC,0.2711111,183,492
108,S230,Feingold (D-WI),D,WI,0.74222225,501,174
108,S221,Feinstein (D-CA),D,CA,0.75703704,511,164
108,S199,Graham (D-FL),D,FL,0.45777777,309,366
108,S172,Harkin (D-IA),D,IA,0.74814814,505,170
108,S047,Hollings (D-SC),D,SC,0.597037,403,272
108,S051,Inouye (D-HI),D,HI,0.6533333,441,234
108,S257,Johnson (D-SD),D,SD,0.8162963,551,124
108,S258,Landrieu (D-LA),D,LA,0.69185185,467,208
108,S166,Lautenberg (D-NJ),D,NJ,0.72444445,489,186
108,S057,Leahy (D-VT),D,VT,0.7777778,525,150
108,S131,Levin (D-MI),D,MI,0.8103704,547,128
108,S210,Lieberman (D-CT),D,CT,0.29185185,197,478
108,S269,Lincoln (D-AR),D,AR,0.77185184,521,154
108,S182,Mikulski (D-MD),D,MD,0.79555553,537,138
108,S273,Miller (D-GA),D,GA,-0.23851852,-161,836
108,S229,Murray (D-WA),D,WA,0.79555553,537,138
108,S282,Nelson (D-FL),D,FL,0.77185184,521,154
108,S283,Nelson (D-NE),D,NE,0.44296297,299,376
108,S295,Pryor (D-AR),D,AR,0.81333333,549,126
108,S259,Reed (D-RI),D,RI,0.7688889,519,156
108,S198,Reid (D-NV),D,NV,0.8125,546,126
108,S176,Rockefeller (D-WV),D,WV,0.8281481,559,116
108,S106,Sarbanes (D-MD),D,MD,0.79555553,537,138
108,S270,Schumer (D-NY),D,NY,0.78074074,527,148
108,S284,Stabenow (D-MI),D,MI,0.84,567,108
108,S247,Wyden (D-OR),D,OR,0.77481484,523,152
108,S055,Kennedy (D-MA),D,MA,0.73333335,495,180
108,S173,Kerry (D-MA),D,MA,-0.07851852,-53,728
108,S209,Kohl (D-WI),D,WI,0.8008915,539,134
